Park ID,State,Country,Adult,Child,PartySize,BookingType,RateType,Equipment,BookingStartDate,BookingEndDate,Camper Nights,Permits
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/08/2012,06/11/2012,3,1
Thomas Raddall,NS,Canada,1,,1,CampsitePermit,Senior,Less than 20ft,08/04/2012,08/05/2012,1,1
The Islands,GERMANY,Other,4,,4,CampsitePermit,Full,Less than 40ft,07/04/2012,07/05/2012,1,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/06/2012,07/08/2012,2,1
Rissers Beach,ON,Canada,1,,1,CampsitePermit,Full,Single Tent,09/17/2012,09/18/2012,1,1
Battery,AB,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,06/18/2012,06/19/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,08/25/2012,08/26/2012,1,1
Five Islands,NS,Canada,2,3,5,CampsitePermit,Full,Tents,08/13/2012,08/15/2012,2,1
Smileys,NS,Canada,2,4,6,CampsitePermit,Full,Tents,08/05/2012,08/08/2012,3,1
Rissers Beach,ON,Canada,1,1,2,CampsitePermit,Full,Single Tent,08/22/2012,08/24/2012,2,1
Battery,AB,Canada,2,,2,CampsitePermit,Full,Single Tent,08/17/2012,08/18/2012,1,1
Battery,UK,Other,2,,2,CampsitePermit,Full,Less than 20ft,08/13/2012,08/14/2012,1,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,07/29/2012,07/30/2012,1,1
Laurie,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/18/2012,08/19/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/26/2012,08/27/2012,1,1
Laurie,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/02/2012,08/04/2012,2,1
Thomas Raddall,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/26/2012,07/27/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/07/2012,08/08/2012,1,1
Laurie,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,08/24/2012,08/25/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/27/2012,2,1
Rissers Beach,NS,Canada,2,1,3,CampsitePermit,Full,Tents,07/17/2012,07/19/2012,2,1
Caribou Munroes,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,06/22/2012,06/23/2012,1,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/19/2012,08/24/2012,5,1
Graves Island,NS,Canada,2,3,5,CampsitePermit,Full,Less than 20ft,09/14/2012,09/16/2012,2,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/16/2012,07/19/2012,3,1
Mira River,ON,Canada,3,1,4,CampsitePermit,Full,Less than 40ft,07/23/2012,07/24/2012,1,1
Amherst Shore,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/25/2012,1,1
Valleyview,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/21/2012,07/22/2012,1,1
Blomidon,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,06/29/2012,07/01/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/20/2012,07/22/2012,2,1
Valleyview,NS,Canada,2,1,3,CampsitePermit,Full,Tents,08/17/2012,08/19/2012,2,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/10/2012,07/12/2012,2,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/02/2012,07/04/2012,2,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,06/08/2012,06/10/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/13/2012,07/15/2012,2,1
Thomas Raddall,NS,Canada,4,3,7,CampsitePermit,Full,Tents,07/20/2012,07/22/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/03/2012,08/05/2012,2,1
Caribou Munroes,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/08/2012,08/09/2012,1,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/20/2012,05/21/2012,1,1
Smileys,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/31/2012,09/02/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/26/2012,2,1
Dollar Lake,NS,Canada,4,2,6,CampsitePermit,Full,Single Tent,08/31/2012,09/01/2012,1,1
Mira River,NS,Canada,2,3,5,CampsitePermit,Full,Less than 30ft,06/28/2012,06/29/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Tents,08/24/2012,08/26/2012,2,1
Graves Island,ON,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/20/2012,08/23/2012,3,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/20/2012,05/21/2012,1,1
Rissers Beach,AK,USA,1,,1,CampsitePermit,Full,Less than 20ft,05/25/2012,05/26/2012,1,1
Amherst Shore,QC,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/08/2012,07/09/2012,1,1
Amherst Shore,NB,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/03/2012,08/06/2012,3,1
Thomas Raddall,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/25/2012,07/29/2012,4,1
Battery,NS,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/09/2012,08/10/2012,1,1
Graves Island,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Mira River,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,06/26/2012,06/28/2012,2,1
Five Islands,NS,Canada,5,,5,CampsitePermit,Full,Tents,09/14/2012,09/16/2012,2,1
Blomidon,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,08/05/2012,08/07/2012,2,1
Whycocomagh,YT,Canada,1,,1,CampsitePermit,Senior,Less than 20ft,08/25/2012,08/26/2012,1,1
Caribou Munroes,NS,Canada,4,2,6,CampsitePermit,Full,Less than 20ft,08/19/2012,08/24/2012,5,1
Rissers Beach,NS,Canada,2,3,5,CampsitePermit,Full,Less than 20ft,08/12/2012,08/15/2012,3,1
Thomas Raddall,BC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/22/2012,08/23/2012,1,1
Battery,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/09/2012,08/10/2012,1,1
Amherst Shore,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/05/2012,08/12/2012,7,1
Caribou Munroes,NS,Canada,2,3,5,CampsitePermit,Full,Less than 20ft,08/17/2012,08/19/2012,2,1
Salsman,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/15/2012,07/18/2012,3,1
Porters Lake,QC,Canada,2,,2,CampsitePermit,Senior,Single Tent,05/28/2012,05/30/2012,2,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Less than 30ft,08/28/2012,08/30/2012,2,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/30/2012,09/03/2012,4,1
Laurie,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/10/2012,08/12/2012,2,1
Boylston,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/15/2012,08/16/2012,1,1
Laurie,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,06/15/2012,06/16/2012,1,1
Five Islands,GERMANY,Other,2,,2,CampsitePermit,Full,Less than 20ft,07/18/2012,07/20/2012,2,1
Five Islands,NS,Canada,5,,5,CampsitePermit,Full,Tents,07/26/2012,07/28/2012,2,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/11/2012,08/12/2012,1,1
Porters Lake,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/30/2012,08/31/2012,1,1
Dollar Lake,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/14/2012,08/16/2012,2,1
Salsman,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 40ft,07/27/2012,07/29/2012,2,1
Laurie,ON,Canada,1,,1,CampsitePermit,Full,Less than 20ft,07/04/2012,07/06/2012,2,1
Five Islands,NB,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,09/18/2012,09/19/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/21/2012,07/22/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,09/07/2012,09/09/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/03/2012,08/04/2012,1,1
Laurie,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Whycocomagh,AK,USA,2,,2,CampsitePermit,Full,Less than 30ft,09/27/2012,09/28/2012,1,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/14/2012,08/19/2012,5,1
Rissers Beach,NS,Canada,4,,4,CampsitePermit,Full,Single Tent,07/29/2012,07/31/2012,2,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,06/28/2012,07/02/2012,4,1
Battery,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/07/2012,08/08/2012,1,1
Amherst Shore,NS,Canada,3,2,5,CampsitePermit,Full,Tents,07/06/2012,07/08/2012,2,1
Thomas Raddall,NS,Canada,4,,4,CampsitePermit,Full,Less than 30ft,08/24/2012,08/26/2012,2,1
Porters Lake,QC,Canada,5,,5,CampsitePermit,Full,Tents,07/26/2012,07/29/2012,3,1
Laurie,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/12/2012,07/15/2012,3,1
Amherst Shore,QC,Canada,4,2,6,CampsitePermit,Full,Less than 20ft,07/18/2012,07/19/2012,1,1
Thomas Raddall,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/10/2012,08/14/2012,4,1
Caribou Munroes,NS,Canada,5,1,6,CampsitePermit,Full,Single Tent,08/10/2012,08/12/2012,2,1
Dollar Lake,NS,Canada,3,,3,CampsitePermit,Full,Tents,07/13/2012,07/15/2012,2,1
Mira River,NS,Canada,3,1,4,CampsitePermit,Full,Single Tent,06/08/2012,06/10/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/20/2012,07/22/2012,2,1
Ellenwood Lake,NS,Canada,4,1,5,CampsitePermit,Full,Less than 20ft,08/29/2012,08/31/2012,2,1
Porters Lake,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,08/01/2012,4,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/26/2012,07/27/2012,1,1
Rissers Beach,ON,Canada,2,,2,CampsitePermit,Full,Less than 20ft,06/29/2012,07/02/2012,3,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/09/2012,08/10/2012,1,1
Whycocomagh,SWITZERLAND,Other,2,,2,CampsitePermit,Full,Single Tent,09/22/2012,09/23/2012,1,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/21/2012,07/22/2012,1,1
Caribou Munroes,AK,USA,2,,2,CampsitePermit,Full,Less than 40ft,08/23/2012,08/24/2012,1,1
Laurie,ON,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,07/18/2012,07/20/2012,2,1
Graves Island,AK,USA,2,,2,CampsitePermit,Full,Single Tent,06/01/2012,06/02/2012,1,1
Whycocomagh,NS,Canada,1,3,4,CampsitePermit,Full,Tents,08/20/2012,08/25/2012,5,1
Whycocomagh,ON,Canada,3,,3,CampsitePermit,Full,Single Tent,09/14/2012,09/15/2012,1,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/05/2012,08/07/2012,2,1
Laurie,AK,USA,2,,2,CampsitePermit,Full,Single Tent,06/16/2012,06/17/2012,1,1
Caribou Munroes,PE,Canada,2,,2,CampsitePermit,Full,Less than 30ft,09/30/2012,10/01/2012,1,1
Five Islands,NL,Canada,2,,2,CampsitePermit,Full,Single Tent,08/10/2012,08/11/2012,1,1
The Islands,PE,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,08/19/2012,08/21/2012,2,1
Whycocomagh,GERMANY,Other,2,,2,CampsitePermit,Full,Less than 30ft,09/13/2012,09/14/2012,1,1
Laurie,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,07/12/2012,07/13/2012,1,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,09/14/2012,09/16/2012,2,1
The Islands,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/27/2012,07/01/2012,4,1
Porters Lake,NS,Canada,1,,1,CampsitePermit,Full,Less than 20ft,05/18/2012,05/21/2012,3,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/20/2012,08/24/2012,4,1
Whycocomagh,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/22/2012,07/24/2012,2,1
Graves Island,UK,Other,2,,2,CampsitePermit,Full,Single Tent,06/16/2012,06/17/2012,1,1
Amherst Shore,SK,Canada,2,,2,CampsitePermit,Full,Single Tent,08/24/2012,08/25/2012,1,1
The Islands,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/25/2012,1,1
Graves Island,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,07/14/2012,07/15/2012,1,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/10/2012,07/13/2012,3,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/27/2012,07/29/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/18/2012,08/19/2012,1,1
Graves Island,AB,Canada,2,,2,CampsitePermit,Full,Single Tent,06/17/2012,06/18/2012,1,1
Caribou Munroes,NL,Canada,2,,2,CampsitePermit,Full,Single Tent,08/23/2012,08/24/2012,1,1
Smileys,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,07/17/2012,07/18/2012,1,1
Five Islands,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/28/2012,07/29/2012,1,1
Cape Chignecto,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,06/30/2012,07/02/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/29/2012,08/31/2012,2,1
Whycocomagh,ON,Canada,4,,4,CampsitePermit,Full,Tents,08/03/2012,08/05/2012,2,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/01/2012,07/02/2012,1,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,09/08/2012,09/09/2012,1,1
Graves Island,NS,Canada,1,3,4,CampsitePermit,Full,Single Tent,06/30/2012,07/01/2012,1,1
Dollar Lake,NS,Canada,5,,5,CampsitePermit,Full,Single Tent,08/17/2012,08/18/2012,1,1
Dollar Lake,NS,Canada,3,,3,CampsitePermit,Full,Single Tent,07/14/2012,07/17/2012,3,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/31/2012,09/03/2012,3,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Tents,08/17/2012,08/19/2012,2,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,06/08/2012,06/10/2012,2,1
Graves Island,AK,USA,1,,1,CampsitePermit,Senior,Tents,05/27/2012,05/28/2012,1,1
Smileys,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,07/06/2012,07/08/2012,2,1
Mira River,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,07/21/2012,07/22/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/25/2012,07/27/2012,2,1
Amherst Shore,ON,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/25/2012,08/26/2012,1,1
Laurie,YT,Canada,2,,2,CampsitePermit,Full,Single Tent,08/23/2012,08/25/2012,2,1
Boylston,ON,Canada,1,,1,CampsitePermit,Full,Single Tent,07/18/2012,07/19/2012,1,1
The Islands,NS,Canada,2,4,6,CampsitePermit,Full,Less than 30ft,08/25/2012,08/26/2012,1,1
Whycocomagh,GERMANY,Other,2,,2,CampsitePermit,Senior,Less than 20ft,09/19/2012,09/20/2012,1,1
Battery,GERMANY,Other,2,,2,CampsitePermit,Full,Less than 30ft,09/08/2012,09/09/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/19/2012,08/20/2012,1,1
Graves Island,NS,Canada,1,2,3,CampsitePermit,Full,Single Tent,05/19/2012,05/21/2012,2,1
Whycocomagh,ON,Canada,1,,1,CampsitePermit,Full,Single Tent,08/23/2012,08/24/2012,1,1
Rissers Beach,NS,Canada,2,1,3,CampsitePermit,Full,Less than 30ft,09/07/2012,09/09/2012,2,1
Caribou Munroes,QC,Canada,2,3,5,CampsitePermit,Full,Less than 20ft,07/16/2012,07/17/2012,1,1
Valleyview,QC,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/29/2012,08/30/2012,1,1
Whycocomagh,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/22/2012,07/24/2012,2,1
The Islands,QC,Canada,2,,2,CampsitePermit,Full,Less than 40ft,07/23/2012,07/24/2012,1,1
Battery,QC,Canada,2,,2,CampsitePermit,Full,Tents,07/10/2012,07/11/2012,1,1
Dollar Lake,NS,Canada,2,4,6,CampsitePermit,Full,Tents,07/20/2012,07/22/2012,2,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/12/2012,08/13/2012,1,1
Whycocomagh,QC,Canada,2,,2,CampsitePermit,Full,Tents,07/23/2012,07/25/2012,2,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/03/2012,08/06/2012,3,1
Dollar Lake,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,07/01/2012,07/02/2012,1,1
Dollar Lake,NS,Canada,4,3,7,CampsitePermit,Full,Tents,09/07/2012,09/09/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/30/2012,08/31/2012,1,1
Amherst Shore,NB,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/30/2012,07/02/2012,2,1
Caribou Munroes,AB,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,06/15/2012,06/16/2012,1,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,09/14/2012,09/15/2012,1,1
Rissers Beach,NS,Canada,4,,4,CampsitePermit,Full,Less than 30ft,08/19/2012,08/26/2012,7,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,09/29/2012,10/01/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/22/2012,08/25/2012,3,1
Dollar Lake,NS,Canada,4,2,6,CampsitePermit,Full,Tents,07/06/2012,07/08/2012,2,1
Caribou Munroes,NS,Canada,3,2,5,CampsitePermit,Full,Less than 20ft,07/06/2012,07/08/2012,2,1
Rissers Beach,NS,Canada,1,,1,CampsitePermit,Full,Less than 20ft,10/06/2012,10/08/2012,2,1
Blomidon,AK,USA,1,,1,CampsitePermit,Full,Single Tent,05/18/2012,05/19/2012,1,1
Boylston,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/19/2012,07/20/2012,1,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/17/2012,08/19/2012,2,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/02/2012,08/06/2012,4,1
Cape Chignecto,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,09/23/2012,09/25/2012,2,1
Porters Lake,NS,Canada,4,2,6,CampsitePermit,Full,Less than 20ft,06/08/2012,06/10/2012,2,1
Ellenwood Lake,NS,Canada,2,4,6,CampsitePermit,Full,Less than 40ft,07/14/2012,07/16/2012,2,1
Cape Chignecto,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/26/2012,1,1
Whycocomagh,ON,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,08/10/2012,08/13/2012,3,1
Dollar Lake,NS,Canada,2,1,3,CampsitePermit,Full,Tents,06/29/2012,07/02/2012,3,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/21/2012,07/22/2012,1,1
Porters Lake,NS,Canada,4,,4,CampsitePermit,Full,Single Tent,07/06/2012,07/08/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/20/2012,07/22/2012,2,1
Graves Island,NS,Canada,3,1,4,CampsitePermit,Full,Single Tent,09/07/2012,09/08/2012,1,1
Porters Lake,QC,Canada,3,,3,CampsitePermit,Full,Tents,07/19/2012,07/20/2012,1,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,09/01/2012,09/03/2012,2,1
Porters Lake,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,06/16/2012,06/17/2012,1,1
Blomidon,ON,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/22/2012,07/26/2012,4,1
Salsman,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,08/31/2012,09/03/2012,3,1
Rissers Beach,NS,Canada,2,3,5,CampsitePermit,Full,Less than 30ft,07/08/2012,07/12/2012,4,1
Five Islands,PE,Canada,2,,2,CampsitePermit,Full,Single Tent,07/06/2012,07/07/2012,1,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Senior,Tents,08/09/2012,08/12/2012,3,1
Boylston,UK,Other,1,,1,CampsitePermit,Full,Less than 20ft,07/15/2012,07/16/2012,1,1
Laurie,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,08/22/2012,08/23/2012,1,1
Graves Island,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/09/2012,08/11/2012,2,1
Dollar Lake,NS,Canada,3,2,5,CampsitePermit,Full,Single Tent,07/02/2012,07/04/2012,2,1
Blomidon,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,07/31/2012,08/01/2012,1,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/26/2012,1,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,09/14/2012,09/15/2012,1,1
Rissers Beach,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/21/2012,08/22/2012,1,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,06/22/2012,06/24/2012,2,1
Graves Island,NS,Canada,5,,5,CampsitePermit,Full,Less than 30ft,07/13/2012,07/15/2012,2,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,09/21/2012,09/23/2012,2,1
Amherst Shore,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,07/09/2012,07/11/2012,2,1
The Islands,NS,Canada,2,,2,CampsitePermit,Full,Tents,08/04/2012,08/06/2012,2,1
Rissers Beach,NS,Canada,5,,5,CampsitePermit,Full,Less than 30ft,06/29/2012,07/02/2012,3,1
Mira River,QC,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/18/2012,07/23/2012,5,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/14/2012,07/15/2012,1,1
Valleyview,NS,Canada,1,2,3,CampsitePermit,Full,Single Tent,07/27/2012,07/29/2012,2,1
Mira River,NS,Canada,6,,6,CampsitePermit,Full,Single Tent,07/09/2012,07/11/2012,2,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,09/14/2012,09/17/2012,3,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/03/2012,08/06/2012,3,1
Smileys,NS,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,06/15/2012,06/17/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/15/2012,07/16/2012,1,1
Mira River,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,09/04/2012,09/06/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/26/2012,08/28/2012,2,1
Smileys,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/14/2012,07/15/2012,1,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/24/2012,08/27/2012,3,1
Amherst Shore,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,09/29/2012,09/30/2012,1,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2012,07/07/2012,1,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,07/10/2012,07/11/2012,1,1
Ellenwood Lake,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/24/2012,08/26/2012,2,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/29/2012,07/02/2012,3,1
Thomas Raddall,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,05/27/2012,05/28/2012,1,1
Rissers Beach,NS,Canada,2,4,6,CampsitePermit,Full,Less than 30ft,07/16/2012,07/22/2012,6,1
Whycocomagh,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,09/25/2012,09/27/2012,2,1
Caribou Munroes,BC,Canada,2,,2,CampsitePermit,Senior,Single Tent,08/26/2012,08/27/2012,1,1
Whycocomagh,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/16/2012,08/19/2012,3,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/26/2012,1,1
Porters Lake,NS,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,05/20/2012,05/21/2012,1,1
Caribou Munroes,NS,Canada,2,3,5,CampsitePermit,Full,Less than 30ft,06/29/2012,07/02/2012,3,1
Smileys,NS,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,07/11/2012,07/12/2012,1,1
Mira River,QC,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/13/2012,08/14/2012,1,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2012,08/06/2012,3,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Tents,07/13/2012,07/15/2012,2,1
Blomidon,GERMANY,Other,2,,2,CampsitePermit,Full,Single Tent,08/04/2012,08/06/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/31/2012,09/02/2012,2,1
Battery,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,09/06/2012,09/09/2012,3,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/01/2012,07/02/2012,1,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,06/08/2012,06/10/2012,2,1
Smileys,Netherlands,Other,2,,2,CampsitePermit,Full,Less than 20ft,07/19/2012,07/20/2012,1,1
Ellenwood Lake,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/17/2012,08/19/2012,2,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2012,07/08/2012,2,1
